2025-04-29 23:29:53,310 - INFO - Using device: cpu
2025-04-29 23:29:53,418 - INFO - Found latest_model @ /Users/salmanfaris/Desktop/ds-projects/reso2025/gdm-atari/model_run_1/pong_dqn_episode_900.pth
2025-04-29 23:29:53,418 - INFO - Loading latest_model @ /Users/salmanfaris/Desktop/ds-projects/reso2025/gdm-atari/model_run_1/pong_dqn_episode_900.pth
2025-04-29 23:29:53,424 - INFO - Loaded model from episode 900
2025-04-29 23:29:53,425 - INFO - Successfully loaded model and synchronized target model
2025-04-30 01:43:34,454 - INFO - Episode 1066, Total Reward: -20.0
2025-04-30 01:44:32,017 - INFO - Episode 1067, Total Reward: -20.0
2025-04-30 01:45:20,634 - INFO - Episode 1068, Total Reward: -21.0
2025-04-30 01:46:14,268 - INFO - Episode 1069, Total Reward: -21.0
2025-04-30 01:47:01,097 - INFO - Episode 1070, Total Reward: -21.0
2025-04-30 01:47:49,547 - INFO - Episode 1071, Total Reward: -21.0
2025-04-30 01:48:36,821 - INFO - Episode 1072, Total Reward: -21.0
2025-04-30 01:49:21,233 - INFO - Episode 1073, Total Reward: -21.0
2025-04-30 01:50:08,765 - INFO - Episode 1074, Total Reward: -21.0
2025-04-30 01:50:55,863 - INFO - Episode 1075, Total Reward: -21.0
2025-04-30 01:51:47,351 - INFO - Episode 1076, Total Reward: -20.0
2025-04-30 01:52:31,721 - INFO - Episode 1077, Total Reward: -21.0
2025-04-30 01:53:16,706 - INFO - Episode 1078, Total Reward: -21.0
2025-04-30 01:54:06,121 - INFO - Episode 1079, Total Reward: -20.0
2025-04-30 01:54:55,431 - INFO - Episode 1080, Total Reward: -21.0
2025-04-30 01:55:44,066 - INFO - Episode 1081, Total Reward: -21.0
2025-04-30 01:56:30,744 - INFO - Episode 1082, Total Reward: -21.0
2025-04-30 01:57:19,461 - INFO - Episode 1083, Total Reward: -21.0
2025-04-30 01:58:07,102 - INFO - Episode 1084, Total Reward: -21.0
2025-04-30 01:58:51,841 - INFO - Episode 1085, Total Reward: -21.0
2025-04-30 01:59:40,347 - INFO - Episode 1086, Total Reward: -21.0
2025-04-30 02:00:27,575 - INFO - Episode 1087, Total Reward: -21.0
2025-04-30 02:01:17,876 - INFO - Episode 1088, Total Reward: -20.0
2025-04-30 02:02:04,418 - INFO - Episode 1089, Total Reward: -21.0
2025-04-30 02:02:56,426 - INFO - Episode 1090, Total Reward: -20.0
2025-04-30 02:03:42,812 - INFO - Episode 1091, Total Reward: -21.0
2025-04-30 02:04:32,231 - INFO - Episode 1092, Total Reward: -20.0
2025-04-30 02:05:21,013 - INFO - Episode 1093, Total Reward: -20.0
2025-04-30 02:06:06,587 - INFO - Episode 1094, Total Reward: -21.0
2025-04-30 02:06:56,633 - INFO - Episode 1095, Total Reward: -21.0
2025-04-30 02:07:45,482 - INFO - Episode 1096, Total Reward: -21.0
2025-04-30 02:08:34,360 - INFO - Episode 1097, Total Reward: -20.0
2025-04-30 02:09:25,991 - INFO - Episode 1098, Total Reward: -21.0
2025-04-30 02:10:15,758 - INFO - Episode 1099, Total Reward: -21.0
2025-04-30 02:11:01,218 - INFO - Model saved at episode 1100
2025-04-30 02:11:01,219 - INFO - Episode 1100, Total Reward: -21.0
2025-04-30 02:11:47,487 - INFO - Episode 1101, Total Reward: -21.0
2025-04-30 02:12:37,008 - INFO - Episode 1102, Total Reward: -21.0
2025-04-30 02:13:24,372 - INFO - Episode 1103, Total Reward: -21.0
2025-04-30 02:14:09,996 - INFO - Episode 1104, Total Reward: -21.0
2025-04-30 02:15:08,435 - INFO - Episode 1105, Total Reward: -21.0
2025-04-30 02:15:58,382 - INFO - Episode 1106, Total Reward: -21.0
2025-04-30 02:16:43,784 - INFO - Episode 1107, Total Reward: -21.0
2025-04-30 02:17:33,683 - INFO - Episode 1108, Total Reward: -20.0
2025-04-30 02:18:17,279 - INFO - Episode 1109, Total Reward: -21.0
2025-04-30 02:19:01,552 - INFO - Episode 1110, Total Reward: -21.0
2025-04-30 02:19:46,575 - INFO - Episode 1111, Total Reward: -21.0
2025-04-30 02:20:38,008 - INFO - Episode 1112, Total Reward: -21.0
2025-04-30 02:21:23,680 - INFO - Episode 1113, Total Reward: -21.0
2025-04-30 02:22:21,584 - INFO - Episode 1114, Total Reward: -21.0
2025-04-30 02:23:10,117 - INFO - Episode 1115, Total Reward: -21.0
2025-04-30 02:23:56,244 - INFO - Episode 1116, Total Reward: -21.0
2025-04-30 02:24:59,014 - INFO - Episode 1117, Total Reward: -20.0
2025-04-30 02:25:55,986 - INFO - Episode 1118, Total Reward: -20.0
2025-04-30 02:26:52,517 - INFO - Episode 1119, Total Reward: -21.0
2025-04-30 02:27:41,133 - INFO - Episode 1120, Total Reward: -21.0
2025-04-30 02:28:37,476 - INFO - Episode 1121, Total Reward: -21.0
2025-04-30 02:29:29,901 - INFO - Episode 1122, Total Reward: -20.0
2025-04-30 02:30:14,306 - INFO - Episode 1123, Total Reward: -21.0
2025-04-30 02:30:59,315 - INFO - Episode 1124, Total Reward: -21.0
2025-04-30 02:31:43,806 - INFO - Episode 1125, Total Reward: -21.0
2025-04-30 02:32:28,677 - INFO - Episode 1126, Total Reward: -21.0
2025-04-30 02:33:13,070 - INFO - Episode 1127, Total Reward: -21.0
2025-04-30 02:33:58,198 - INFO - Episode 1128, Total Reward: -21.0
2025-04-30 02:34:45,595 - INFO - Episode 1129, Total Reward: -21.0
2025-04-30 02:35:34,931 - INFO - Episode 1130, Total Reward: -21.0
2025-04-30 02:36:21,512 - INFO - Episode 1131, Total Reward: -21.0
2025-04-30 02:37:08,693 - INFO - Episode 1132, Total Reward: -21.0
2025-04-30 02:38:00,877 - INFO - Episode 1133, Total Reward: -21.0
2025-04-30 02:38:54,434 - INFO - Episode 1134, Total Reward: -21.0
2025-04-30 02:39:37,657 - INFO - Episode 1135, Total Reward: -21.0
2025-04-30 02:40:22,166 - INFO - Episode 1136, Total Reward: -21.0
2025-04-30 02:41:11,065 - INFO - Episode 1137, Total Reward: -21.0
2025-04-30 02:41:56,449 - INFO - Episode 1138, Total Reward: -21.0
2025-04-30 02:42:45,798 - INFO - Episode 1139, Total Reward: -20.0
2025-04-30 02:43:33,131 - INFO - Episode 1140, Total Reward: -21.0
2025-04-30 02:44:22,333 - INFO - Episode 1141, Total Reward: -21.0
2025-04-30 02:45:10,302 - INFO - Episode 1142, Total Reward: -21.0
2025-04-30 02:46:02,080 - INFO - Episode 1143, Total Reward: -21.0
2025-04-30 02:46:57,285 - INFO - Episode 1144, Total Reward: -20.0
2025-04-30 02:47:44,675 - INFO - Episode 1145, Total Reward: -21.0
2025-04-30 02:48:32,831 - INFO - Episode 1146, Total Reward: -21.0
2025-04-30 02:49:21,317 - INFO - Episode 1147, Total Reward: -21.0
2025-04-30 02:50:09,877 - INFO - Episode 1148, Total Reward: -21.0
2025-04-30 02:50:59,227 - INFO - Episode 1149, Total Reward: -20.0
2025-04-30 02:51:46,545 - INFO - Episode 1150, Total Reward: -21.0
2025-04-30 02:52:46,285 - INFO - Episode 1151, Total Reward: -20.0
2025-04-30 02:53:38,705 - INFO - Episode 1152, Total Reward: -21.0
2025-04-30 02:54:36,424 - INFO - Episode 1153, Total Reward: -20.0
2025-04-30 02:55:32,943 - INFO - Episode 1154, Total Reward: -21.0
2025-04-30 02:56:20,109 - INFO - Episode 1155, Total Reward: -21.0
2025-04-30 02:57:06,696 - INFO - Episode 1156, Total Reward: -21.0
2025-04-30 02:58:06,598 - INFO - Episode 1157, Total Reward: -21.0
2025-04-30 02:59:06,127 - INFO - Episode 1158, Total Reward: -20.0
2025-04-30 02:59:58,396 - INFO - Episode 1159, Total Reward: -21.0
2025-04-30 03:00:55,913 - INFO - Episode 1160, Total Reward: -20.0
2025-04-30 03:01:41,304 - INFO - Episode 1161, Total Reward: -21.0
2025-04-30 03:02:26,030 - INFO - Episode 1162, Total Reward: -21.0
2025-04-30 03:03:14,097 - INFO - Episode 1163, Total Reward: -21.0
2025-04-30 03:04:04,459 - INFO - Episode 1164, Total Reward: -21.0
2025-04-30 03:04:51,964 - INFO - Episode 1165, Total Reward: -21.0
2025-04-30 03:05:35,356 - INFO - Episode 1166, Total Reward: -21.0
2025-04-30 03:06:21,879 - INFO - Episode 1167, Total Reward: -21.0
2025-04-30 03:07:17,268 - INFO - Episode 1168, Total Reward: -20.0
2025-04-30 03:08:10,015 - INFO - Episode 1169, Total Reward: -20.0
2025-04-30 03:08:55,216 - INFO - Episode 1170, Total Reward: -21.0
2025-04-30 03:09:44,574 - INFO - Episode 1171, Total Reward: -20.0
2025-04-30 03:10:34,713 - INFO - Episode 1172, Total Reward: -20.0
2025-04-30 03:11:19,059 - INFO - Episode 1173, Total Reward: -21.0
2025-04-30 03:12:09,528 - INFO - Episode 1174, Total Reward: -20.0
2025-04-30 03:12:53,399 - INFO - Episode 1175, Total Reward: -21.0
2025-04-30 03:13:40,443 - INFO - Episode 1176, Total Reward: -21.0
2025-04-30 03:14:28,010 - INFO - Episode 1177, Total Reward: -21.0
2025-04-30 03:15:17,357 - INFO - Episode 1178, Total Reward: -20.0
2025-04-30 03:16:04,225 - INFO - Episode 1179, Total Reward: -21.0
2025-04-30 03:16:56,611 - INFO - Episode 1180, Total Reward: -20.0
2025-04-30 03:17:45,519 - INFO - Episode 1181, Total Reward: -21.0
