2025-05-17 16:46:46,318 - INFO - Using device: mps
2025-05-17 16:46:49,932 - INFO - 
        ---------------------------------------------------------------
        Loaded checkpoint from model_run_6/checkpoint.pkl with following params:
        EPISODE: 850
        STEP: 832,922
        BEST REWARD: -11.0
        EPSILON: 0.0140
        ---------------------------------------------------------------
        
2025-05-17 17:14:22,004 - INFO - Episode 912, Total Reward: -20.0, Average Loss: 0.0019, Epsilon: 0.0103
2025-05-17 17:14:54,748 - INFO - Episode 913, Total Reward: -16.0, Average Loss: 0.0022, Epsilon: 0.0102
2025-05-17 17:15:18,527 - INFO - Episode 914, Total Reward: -20.0, Average Loss: 0.0019, Epsilon: 0.0102
2025-05-17 17:15:51,235 - INFO - Episode 915, Total Reward: -16.0, Average Loss: 0.0020, Epsilon: 0.0101
2025-05-17 17:16:27,060 - INFO - Episode 916, Total Reward: -18.0, Average Loss: 0.0020, Epsilon: 0.0101
2025-05-17 17:16:56,969 - INFO - Episode 917, Total Reward: -21.0, Average Loss: 0.0021, Epsilon: 0.0100
2025-05-17 17:17:28,722 - INFO - Episode 918, Total Reward: -18.0, Average Loss: 0.0021, Epsilon: 0.0100
2025-05-17 17:17:49,760 - INFO - Episode 919, Total Reward: -20.0, Average Loss: 0.0020, Epsilon: 0.0100
2025-05-17 17:18:12,153 - INFO - Episode 920, Total Reward: -19.0, Average Loss: 0.0020, Epsilon: 0.0100
2025-05-17 17:18:38,489 - INFO - Episode 921, Total Reward: -19.0, Average Loss: 0.0020, Epsilon: 0.0100
2025-05-17 17:19:04,964 - INFO - Episode 922, Total Reward: -19.0, Average Loss: 0.0021, Epsilon: 0.0100
2025-05-17 17:19:34,739 - INFO - Episode 923, Total Reward: -20.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 17:20:06,543 - INFO - Episode 924, Total Reward: -17.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 17:20:40,216 - INFO - Episode 925, Total Reward: -17.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 17:21:04,679 - INFO - Episode 926, Total Reward: -20.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 17:21:25,209 - INFO - Episode 927, Total Reward: -21.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 17:21:54,085 - INFO - Episode 928, Total Reward: -17.0, Average Loss: 0.0020, Epsilon: 0.0100
2025-05-17 17:22:22,941 - INFO - Episode 929, Total Reward: -16.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 17:22:46,217 - INFO - Episode 930, Total Reward: -18.0, Average Loss: 0.0019, Epsilon: 0.0100
2025-05-17 17:23:09,296 - INFO - Episode 931, Total Reward: -20.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 17:23:34,326 - INFO - Episode 932, Total Reward: -20.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 17:24:04,641 - INFO - Episode 933, Total Reward: -17.0, Average Loss: 0.0017, Epsilon: 0.0100
2025-05-17 17:24:26,985 - INFO - Episode 934, Total Reward: -21.0, Average Loss: 0.0018, Epsilon: 0.0100
2025-05-17 17:24:52,640 - INFO - Episode 935, Total Reward: -20.0, Average Loss: 0.0017, Epsilon: 0.0100
