2025-05-15 20:11:00,174 - INFO - Using device: mps
2025-05-15 20:11:02,424 - INFO - Found latest_model @ /gdm-atari/model_run_5_gemini_fixed/pong_dqn_episode_2500.pth
2025-05-15 20:11:02,424 - INFO - Loading latest_model @ /gdm-atari/model_run_5_gemini_fixed/pong_dqn_episode_2500.pth
2025-05-15 20:11:02,433 - INFO - Loaded model from episode 2500
2025-05-15 20:11:02,433 - INFO - Successfully loaded model and synchronized target model
2025-05-15 20:11:03,915 - INFO - Updated target network at episode 2500
2025-05-15 20:27:44,905 - INFO - Episode 2569, Total Reward: -18.0, Average Loss: 0.0040, Epsilon: 0.7076
2025-05-15 20:28:08,660 - INFO - Episode 2570, Total Reward: -19.0, Average Loss: 0.0041, Epsilon: 0.7041
2025-05-15 20:28:28,879 - INFO - Episode 2571, Total Reward: -19.0, Average Loss: 0.0039, Epsilon: 0.7005
2025-05-15 20:28:52,275 - INFO - Episode 2572, Total Reward: -18.0, Average Loss: 0.0039, Epsilon: 0.6970
2025-05-15 20:29:11,778 - INFO - Episode 2573, Total Reward: -20.0, Average Loss: 0.0040, Epsilon: 0.6936
2025-05-15 20:29:34,131 - INFO - Episode 2574, Total Reward: -19.0, Average Loss: 0.0038, Epsilon: 0.6901
2025-05-15 20:29:57,116 - INFO - Episode 2575, Total Reward: -20.0, Average Loss: 0.0039, Epsilon: 0.6866
2025-05-15 20:30:23,472 - INFO - Episode 2576, Total Reward: -19.0, Average Loss: 0.0040, Epsilon: 0.6832
2025-05-15 20:30:48,148 - INFO - Episode 2577, Total Reward: -18.0, Average Loss: 0.0040, Epsilon: 0.6798
2025-05-15 20:31:13,237 - INFO - Episode 2578, Total Reward: -18.0, Average Loss: 0.0041, Epsilon: 0.6764
2025-05-15 20:31:29,607 - INFO - Episode 2579, Total Reward: -21.0, Average Loss: 0.0039, Epsilon: 0.6730
2025-05-15 20:31:50,198 - INFO - Episode 2580, Total Reward: -19.0, Average Loss: 0.0039, Epsilon: 0.6696
2025-05-15 20:32:07,302 - INFO - Episode 2581, Total Reward: -21.0, Average Loss: 0.0040, Epsilon: 0.6663
2025-05-15 20:32:26,629 - INFO - Episode 2582, Total Reward: -21.0, Average Loss: 0.0040, Epsilon: 0.6630
2025-05-15 20:32:50,841 - INFO - Episode 2583, Total Reward: -19.0, Average Loss: 0.0040, Epsilon: 0.6597
2025-05-15 20:33:11,558 - INFO - Episode 2584, Total Reward: -19.0, Average Loss: 0.0039, Epsilon: 0.6564
2025-05-15 20:33:34,216 - INFO - Episode 2585, Total Reward: -19.0, Average Loss: 0.0040, Epsilon: 0.6531
2025-05-15 20:33:50,639 - INFO - Episode 2586, Total Reward: -20.0, Average Loss: 0.0038, Epsilon: 0.6498
2025-05-15 20:34:16,877 - INFO - New best model saved with reward: -16.0
2025-05-15 20:34:16,878 - INFO - Episode 2587, Total Reward: -16.0, Average Loss: 0.0039, Epsilon: 0.6466
2025-05-15 20:34:39,651 - INFO - Episode 2588, Total Reward: -16.0, Average Loss: 0.0040, Epsilon: 0.6433
2025-05-15 20:34:58,230 - INFO - Episode 2589, Total Reward: -20.0, Average Loss: 0.0038, Epsilon: 0.6401
2025-05-15 20:35:21,050 - INFO - Episode 2590, Total Reward: -19.0, Average Loss: 0.0039, Epsilon: 0.6369
2025-05-15 20:35:35,992 - INFO - Episode 2591, Total Reward: -21.0, Average Loss: 0.0038, Epsilon: 0.6337
